sheet,gaap
,LongTermDebtFairValue
,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive
,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths
,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive
,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour
,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree
,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo
,LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear
,LongTermDebtNoncurrent
,LongTermMarketableSecuritiesMaturitiesTermMaximum
,LongTermMarketableSecuritiesMaturitiesTermMinimum
,LongTermPurchaseCommitmentAmount
,LossContingencyAccrualAtCarryingValue
,LossContingencyDamagesAwardedValue
,LossContingencyDamagesRoyaltyAwardedPercentage
,LossContingencyEstimateOfPossibleLoss
,LossContingencyEstimateofPossibleLossReductioninPeriod
,LossContingencyRangeOfPossibleLossMaximum
,LossContingencySubsidiariesImpactedNumber
,MachineryEquipmentAndInternalUseSoftwareGross
,MajorFacilityLeaseTermsMaximumPeriodInYears
,MajorFacilityLeaseTermsMinimumPeriodInYears
,MarketableSecuritiesCurrent
,MarketableSecuritiesNoncurrent
,MarketableSecuritiesRealizedGainLoss
,MarketingExpense
,MaximumAmountAuthorizedForAcceleratedShareRepurchaseProgramWithFinancialInstitution
,NetCashProvidedByUsedInFinancingActivities
,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations
,NetCashProvidedByUsedInInvestingActivities
,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations
,NetCashProvidedByUsedInOperatingActivities
,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations
,NetIncomeLoss
,NonCashActivitiesInvolvingPropertyPlantandEquipmentNetIncreaseDecreasetoAccountsPayableandOtherCurrentLiabilities
,NoncurrentAssets
,NonoperatingIncomeExpense
,NontradeReceivablesCurrent
,NotionalAmountOfForeignCurrencyDerivativeInstrumentsDesignatedAsHedgingInstruments
,NotionalAmountOfForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstruments
,NumberOfCountries
,NumberOfCustomers
,NumberOfCustomersWithSignificantAccountsReceivableBalance
,NumberOfHighProfileStores
,NumberOfSignificantVendors
,NumberOfStores
,OciBeforeReclassificationsBeforeTaxAttributableToParent
,OffBalanceSheetCommitmentInventoryPurchases
,OffBalanceSheetInventoryPurchaseCommitment
,OperatingExpenses
,OperatingIncomeLoss
,OperatingLeaseCost
,OperatingLeaseLiability
,OperatingLeaseLiabilityCurrent
,OperatingLeaseLiabilityNoncurrent
,OperatingLeasePayments
,OperatingLeaseRightOfUseAsset
,OperatingLeasesFutureMinimumPaymentsDue
,OperatingLeasesFutureMinimumPaymentsDueCurrent
,OperatingLeasesFutureMinimumPaymentsDueInFiveYears
,OperatingLeasesFutureMinimumPaymentsDueInFourYears
,OperatingLeasesFutureMinimumPaymentsDueInThreeYears
,OperatingLeasesFutureMinimumPaymentsDueInTwoYears
,OperatingLeasesFutureMinimumPaymentsDueRetailSpace
,OperatingLeasesFutureMinimumPaymentsDueThereafter
,OperatingLeasesIncreaseInFutureMinimumPaymentsDueRetailSpace
,OperatingLeasesRentExpenseNet
,OperatingandFinanceLeaseLiability
,OperatingandFinanceLeaseRightofUseAsset
,OperatingandFinanceLeaseWeightedAverageDiscountRatePercent
,OtherAccruedLiabilitiesCurrent
,OtherAccruedLiabilitiesNoncurrent
,OtherAssetsCurrent
,OtherAssetsNoncurrent
,OtherComprehensiveIncomeAvailableForSaleSecuritiesAdjustmentNetOfTaxPeriodIncreaseDecrease
,OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPeriodIncreaseDecrease
,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease
,OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax
,OtherComprehensiveIncomeLossBeforeReclassificationsBeforeTax
,OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax
,OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationAndTax
